关键字,印象数,点击次数,点击率,平均排名
痛经,31,1,3.23%,8.83870322580645
naproxen period pain,9,0,0%,7.88888888888889
痛经指南,8,1,12.50%,3.5000125
ibuprofen for period pain,6,0,0%,6
痛经指南共识,6,2,33.33%,3.5
why does heat help period cramps,5,0,0%,3.8
痛经治疗,4,1,25%,13.5
痛经用药建议,4,0,0%,5.25
diagram of water therapy used for menstrual cramp,4,0,0%,1
naproxen for period pain,4,0,0%,6.25
menstrual health hub,4,2,50%,1.75
原发性痛经治疗指南,3,0,0%,4.6667
痛经药物 指南,3,1,33.33%,8
heating pad menstrual pain treatment,3,0,0%,3
ibuprofen for menstrual pain,3,0,0%,5.3333
how to apply heat bag on stomach during periods,3,1,33.33%,1
dysmenorrhea prostaglandin use 800 ibuprofen,3,0,0%,2.3333
can oxafen be use to treat menstrual pains,3,0,0%,1
where is the advisable place to put heat compress during period and is it advisable to put heat or cold compress?,2,1,50%,1.5
痛经的治疗指南,2,2,100%,5
子宫痉挛和痛经,2,0,0%,4
痛经病诊疗指南,2,1,50%,7.5
痛经疼痛的yuan'l,2,0,0%,7
where do i put a heating pad for period is,2,0,0%,5
is ibuprofen safe to relieve period pain,2,0,0%,5
severe period pain with intermittent loss of vision and diarrhea,2,0,0%,8
best nsaids for mendtrualcramps treatment,2,0,0%,2
痛经filetype.pdf,2,0,0%,7
ibuprofen dysmenorrhea guidelines,2,0,0%,5
take 400mg every 4 hours on first day of period,2,0,0%,6.5
nsaids for period pain,2,0,0%,2
子宫痉挛性疼痛治疗指南,2,1,50%,6
pain relievers prescribed to someone with severe period cramps name,2,0,0%,10
whar is the menstrual heating pad,2,0,0%,6
nsaid period pain,2,1,50%,5
can you use hand warmers for period cramps,2,0,0%,6
when is it effective to use ibuprofen for period pain and when to stop,2,0,0%,8
ibuprofen dosage for dysmenorrhea,2,1,50%,1
痛经病因,2,0,0%,6.5
heat patch for period pain,2,0,0%,3.5
can novafen be used for menstrual cramps,2,0,0%,10
痛经的鉴别诊断,2,0,0%,6
痛经 发生机制,2,0,0%,3.5
should you buy a waist heating pad for period,2,0,0%,2
antinevralgic period pain,2,0,0%,2.5
naproxen for period cramps,2,0,0%,6.5
ibuprofen dosage for period cramps,2,0,0%,9
how often can you have ibuprofen for period pain,2,1,50%,1
2022 中国指南：中医技术国际标准——痛经,2,0,0%,10
fast heat for period pain 3patches,2,0,0%,7
痛经症状,2,0,0%,9
naproxen for dysmenorrhea dosing,2,1,50%,1
menstrual pain prescription options,1,0,0%,5
heat patch for period,1,0,0%,3
what low dose ibuprofen slows vaginal bleeding,1,0,0%,8
how does hot water bottles help period pains,1,0,0%,5
ibuprofen good period pain,1,0,0%,4
whats a good heat to put your hot water bottle for period cramps,1,0,0%,1
nafasol for period pain,1,0,0%,2
how to use heating pad for periods,1,1,100%,1
naproxen and mentrual cycle,1,0,0%,7
治疗痛经,1,0,0%,7
naproxen dose for dysmennorhea,1,0,0%,4
what to say to teen thats worried about her period,1,0,0%,10
myosy period heat paid,1,0,0%,1
heating pads  induce periods,1,0,0%,8
heat and pressure for menstrual cramps,1,1,100%,1
nsaid choice for painful period,1,0,0%,2
is hot compress good for period?,1,0,0%,1
recipes on period,1,0,0%,7
naproxen period cramps relief,1,0,0%,5
naproxen dose for period cramps,1,0,0%,1
how much newton of force is generated by period pain,1,0,0%,1
heat patches for menstrual cramps,1,0,0%,10
ibuprofen period paion,1,0,0%,1
can you alternate ibuprofen and acetaminophen for menstrual cramps,1,0,0%,10
月经中期痛经,1,0,0%,8
acetaminophen naproxen combination for menstrual cycle,1,1,100%,3
period snack recipes,1,0,0%,6
presciption pain medication for dysmenorrhea,1,0,0%,4
痛经的指征,1,0,0%,1
severe pain medicine for period pain 2 day,1,0,0%,7
naproxen for period pains,1,0,0%,9
现代医学 痛经的原因和治疗办法,1,1,100%,3
nsaid rx for heavy menstrual bleeding,1,0,0%,9
heat patches period cramps,1,0,0%,5
is naproxen good for menstrual cramps,1,0,0%,8
how does nsaids help with periods,1,0,0%,4
period heat,1,0,0%,1
best nsaid for period cramping,1,0,0%,1
anabrex 200 can it work for menstrual pain,1,0,0%,7
痛经和经前痛,1,0,0%,7
mefenamic acid vs ibuprofen for dysmenorrhea,1,0,0%,4
经期热敷多少度舒服,1,1,100%,2
menstrual pain medical term,1,0,0%,9
causes of mentrual pain in womenthat aligns with mensteruat cycle,1,0,0%,2
what does heating pad do for period,1,0,0%,4
how to use a hot water bottle for period pain,1,0,0%,1
ansaid for period cramps,1,0,0%,1
is aleve better than ibuprofen for menstrual pain,1,0,0%,8
offer support and ensure coverage for mensturation management and treatment,1,0,0%,2
nsaid for management of dysmenorrhoea,1,0,0%,5
period pain relief motrin,1,0,0%,10
痛经 非病理机制,1,0,0%,7
how does heat help with menstrual cramps,1,0,0%,2
can a patient take ibuprofen for dysmenorrhea,1,0,0%,6
menstrual pain is always abnormal kap mhm,1,1,100%,3
painful menstruation medical term,1,0,0%,10
naproxen for period dose,1,0,0%,6
advil for menstrual pain scheduled dosing before,1,0,0%,1
menstrual pain,1,0,0%,10
痛经的含义,1,0,0%,8
what analgesic most used for period pain,1,1,100%,2
cramps menstrual prostaglandin nsaid,1,0,0%,1
pain onset of menstruation,1,0,0%,2
aleve dosage for pms pain management,1,0,0%,8
痛经 医生怎么开诊断,1,0,0%,5
naproxen for menstrual cramps,1,0,0%,6
were do i put a heating pad for periods,1,0,0%,7
what do if heatpack not helping period cramping,1,0,0%,10
metamizole vs mefenamic acid for period pain,1,1,100%,12
月经热敷,1,1,100%,3
月经相关疾病诊断方法,1,0,0%,13
nsaid that can be prescribed in canada for menstrual bleeding,1,0,0%,3
nsaid beginning with m for period bleeding,1,0,0%,2
naproxen for dysmenorrhea,1,0,0%,2
where do i put a heating pad for period,1,0,0%,4
how does heat help menstrual cramps,1,1,100%,1
naproxen for menstrual gramps,1,0,0%,7
痛经病因图片,1,0,0%,7
offer support and ensure coverage for menstruation management and treatment,1,1,100%,2
inhibitor for period pain,1,0,0%,2
ibuprofen 800 for menstrual cramps,1,0,0%,9
period panty health hub,1,0,0%,3
severre abdominal pain that occures during period diagnosis,1,0,0%,10
howis naprogesic better than ibuprofen for period pain,1,0,0%,4
痛经的诊断标准,1,1,100%,2
痛经指南氨酚拉明,1,1,100%,9
does applying heat to your lower abdomen make your period come faster when it is near?,1,0,0%,8
global perspective about period pain,1,0,0%,2
ibuprofen dose for dysmenorrhea,1,1,100%,2
痛经用药指南,1,0,0%,8
hot bottle for period pain explode from temp,1,0,0%,5
is brufen ok for menstrual pain,1,0,0%,9
why does heat help with period cramps,1,0,0%,6
heat massage during periods,1,0,0%,1
can you use deep heat for period cramps,1,0,0%,2
can a heatpad help for period cramps,1,0,0%,3
病理性痛经,1,0,0%,10
hiw many mg is normal ibuprofen period pain,1,0,0%,2
痛经治疗指南2020年,1,1,100%,3
mefenamic acid for dysmenorrhea,1,0,0%,7
heat pad forperiod,1,0,0%,8
does heat help with menstrual cramps and clots,1,1,100%,1
姨妈期间可以仪器热敷吗,1,0,0%,1
热敷是会延缓例假,1,0,0%,5
is naproxen good for period cramps,1,0,0%,4
原发性痛经指南,1,0,0%,9
fast heat oudourless heat relief priod pain,1,0,0%,1
pain full menses medical term,1,0,0%,10
nsaid for period pain,1,0,0%,4
aleve dosage for pms pain,1,0,0%,6
period pain fomrulation,1,0,0%,10
cramps menstrual prostaglandin nsaid kidney,1,0,0%,3
deep heat period pain heat patches after expired,1,0,0%,10
hogy is nsaid helping with period pain,1,0,0%,1
period pain medication,1,0,0%,10
methasasic period pain medication,1,0,0%,7
menstrual stomach pain heating bad,1,0,0%,3
ibuprofen vs naproxen menstrual crsmp,1,0,0%,2
痛经中最常见的,1,0,0%,6
