"关键字","印象数","点击次数","点击率","平均排名"
"痛经","48","1","2.08%","8.58332708333333"
"痛经指南","13","1","7.69%","3.3077"
"naproxen period pain","9","0","0%","7.88888888888889"
"ibuprofen for period pain","8","0","0%","5.5"
"痛经filetype.pdf","6","1","16.67%","10"
"原发性痛经指南","6","3","50%","7.83333333333333"
"naproxen for menstrual cramps","6","0","0%","7"
"痛经科普","6","1","16.67%","6"
"痛经指南共识","6","2","33.33%","3.5"
"痛经治疗","5","1","20%","12.2"
"naproxen for period pain","5","0","0%","6"
"why does heat help period cramps","5","0","0%","3.8"
"advil for dysmenorrhea","5","0","0%","5.8"
"原发性痛经治疗指南","5","0","0%","6.00002"
"menstrual health hub","4","2","50%","1.75"
"痛经用药建议","4","0","0%","5.25"
"diagram of water therapy used for menstrual cramp","4","0","0%","1"
"痛经治疗指南","4","2","50%","3.75"
"ibuprofen for menstrual pain","4","0","0%","4.999975"
"is naproxen good for period cramps","3","0","0%","6.66666666666667"
"痛经的时候能艾灸在肚脐眼 filetype:pdf","3","0","0%","7"
"can oxafen be use to treat menstrual pains","3","0","0%","1"
"痛经药物 指南","3","1","33.33%","8"
"nsaids for period pain","3","0","0%","2.66666666666667"
"慢性痛经","3","1","33.33%","3.6667"
"how to apply heat bag on stomach during periods","3","1","33.33%","1"
"痛经补镁","3","0","0%","6"
"menstrual pain medical term","3","0","0%","9"
"dysmenorrhea prostaglandin use 800 ibuprofen","3","0","0%","2.3333"
"heating pad menstrual pain treatment","3","0","0%","3"
"is naproxen good for menstrual cramps","3","0","0%","8"
"naproxen for period cramps","2","0","0%","6.5"
"nalgesic period pain cumerone","2","2","100%","1"
"naproxen for dysmenorrhea dosing","2","1","50%","1"
"痛经计算器","2","0","0%","7"
"痛经疼痛的yuan'l","2","0","0%","7"
"痛经的分类","2","0","0%","9"
"2022 中国指南：中医技术国际标准——痛经","2","0","0%","10"
"nsaids for dysmenorrhea","2","2","100%","4"
"ibuprofen dosage for period cramps","2","0","0%","9"
"naproxen for dysmenorrhrea","2","1","50%","4"
"pain block for periods","2","0","0%","7"
"can you use hand warmers for period cramps","2","0","0%","6"
"when is it effective to use ibuprofen for period pain and when to stop","2","0","0%","8"
"ibuprofen dosage for dysmenorrhea","2","1","50%","1"
"痛经病因","2","0","0%","6.5"
"heat patch for period pain","2","0","0%","3.5"
"痛经穴位快速止痛","2","0","0%","7"
"easy recipies which are good for when you are on your period","2","0","0%","8"
"fast heat for period pain 3patches","2","0","0%","7"
"mefenamic acid for dysmenorrhea","2","0","0%","6.5"
"ibuprofen for dysmenorea","2","0","0%","7"
"痛经症状","2","0","0%","9"
"ibuprofen dysmenorrhea guidelines","2","0","0%","5"
